Price,Order_date
593.1120380713755,2017-11-30 12:00:00
563.310491650242,2017-11-11 12:00:00
511.8437611314137,2018-01-08 12:00:00
652.5946156929089,2016-12-20 12:00:00
446.43915539856573,2017-05-20 12:00:00
619.8698781887097,2018-05-12 12:00:00
684.6369367655519,2018-06-28 12:00:00
538.6259074436383,2018-06-23 12:00:00
455.43963379649495,2018-08-11 12:00:00
625.9562966191857,2018-07-06 12:00:00
469.39388158919,2018-06-08 12:00:00
514.4894734562422,2018-07-02 12:00:00
450.9502321433126,2018-01-08 12:00:00
707.8283724300613,2017-09-26 12:00:00
495.380640115651,2017-08-09 12:00:00
419.7948742969689,2016-10-15 12:00:00
379.95177723630627,2017-03-17 12:00:00
691.2436047469345,2018-03-18 12:00:00
619.0379063689597,2017-04-25 12:00:00
553.2735983083691,2018-07-05 12:00:00
588.3573356165817,2017-12-25 12:00:00
643.3568414322402,2017-07-03 12:00:00
446.52853427810334,2018-08-08 12:00:00
468.911253363654,2018-07-24 12:00:00
381.19075961325,2017-01-04 12:00:00
497.67080369406466,2018-06-02 12:00:00
486.984312306714,2017-01-02 12:00:00
330.09862275655456,2018-01-21 12:00:00
661.6039592279614,2018-08-03 12:00:00
379.85992316704267,2017-02-10 12:00:00
628.5172029193197,2017-08-09 12:00:00
579.1737529101313,2017-05-30 12:00:00
674.1872102479256,2017-03-16 12:00:00
589.6466499519265,2018-05-02 12:00:00
560.9912235562471,2017-04-07 12:00:00
612.0793998546928,2017-02-09 12:00:00
609.3221249000055,2017-09-03 12:00:00
588.1571681944637,2017-05-03 12:00:00
633.1504640716051,2018-06-06 12:00:00
673.3130499733848,2016-09-19 12:00:00
438.1341507566166,2017-12-16 12:00:00
514.7795940853229,2017-03-08 12:00:00
496.04336513224496,2016-09-30 12:00:00
458.57383825683866,2017-05-18 12:00:00
504.1012223514391,2017-11-23 12:00:00
531.8859360069314,2018-07-28 12:00:00
488.33815192473674,2018-07-30 12:00:00
655.7802007009731,2017-02-10 12:00:00
600.4256408050792,2016-12-02 12:00:00
409.30008239529036,2016-11-24 12:00:00
529.194546206152,2016-11-03 12:00:00
512.126859008478,2018-03-03 12:00:00
757.9277819149902,2017-05-13 12:00:00
502.6145254086801,2017-01-07 12:00:00
570.2020769488836,2018-01-13 12:00:00
541.032117510393,2017-08-27 12:00:00
500.20277479204077,2017-06-07 12:00:00
620.767038051672,2017-11-06 12:00:00
611.6608284153413,2017-12-12 12:00:00
595.4335509640354,2017-12-04 12:00:00
594.7659706254256,2016-11-01 12:00:00
587.6473281327858,2018-05-25 12:00:00
509.7173545053453,2016-10-04 12:00:00
793.9892667984693,2018-06-23 12:00:00
588.7490008324224,2016-11-04 12:00:00
663.5621314168857,2017-01-11 12:00:00
591.8007398445257,2017-07-04 12:00:00
571.8757617238587,2017-01-13 12:00:00
574.2325997252352,2018-01-08 12:00:00
710.8002564190622,2018-02-11 12:00:00
487.84792525915725,2018-07-15 12:00:00
455.03216952760044,2017-04-02 12:00:00
543.4128580575198,2017-08-01 12:00:00
455.13239572363915,2016-10-14 12:00:00
553.5210808494991,2016-11-23 12:00:00
426.05211944326084,2017-08-25 12:00:00
428.48260325816227,2017-04-17 12:00:00
439.61326140111527,2017-03-19 12:00:00
451.1906320004919,2017-07-30 12:00:00
584.8430021386688,2016-10-05 12:00:00
752.7172560557337,2017-04-29 12:00:00
430.9107898153603,2018-01-07 12:00:00
407.6229979308468,2017-07-22 12:00:00
383.4528738616434,2017-03-03 12:00:00
656.5528145145693,2016-10-16 12:00:00
577.3075773033127,2017-11-03 12:00:00
595.6086044759818,2016-10-29 12:00:00
508.10078589619206,2017-09-07 12:00:00
598.9870876466305,2017-05-06 12:00:00
524.2195725268678,2017-08-01 12:00:00
410.3706129778053,2016-10-04 12:00:00
404.6947840279653,2018-02-12 12:00:00
577.6806710703291,2018-02-01 12:00:00
